"Component Count:","73"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor"
"C1, C2, ","2","C","C","Capacitor_THT:C_Disc_D3.8mm_W2.6mm_P2.50mm","Unpolarized capacitor",""
"C3, ","1","100pf","C","Capacitor_THT:C_Disc_D3.8mm_W2.6mm_P2.50mm","Unpolarized capacitor",""
"C4, C5, C6, C7, C8, C9, C10, C11, ","8","10nf","C","Capacitor_THT:C_Disc_D3.8mm_W2.6mm_P2.50mm","Unpolarized capacitor",""
"C12, C13, ","2","10uf","C_Polarized","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm","Polarized capacitor",""
"C14, C16, ","2","330nf","C","Capacitor_THT:C_Disc_D3.8mm_W2.6mm_P2.50mm","Unpolarized capacitor",""
"C15, C17, ","2","100nf","C","Capacitor_THT:C_Disc_D3.8mm_W2.6mm_P2.50mm","Unpolarized capacitor",""
"D1, D2, ","2","BAT54S","BAT54S","Package_TO_SOT_SMD:SOT-23","schottky barrier diode",""
"D3, D4, ","2","D","D","Diode_THT:D_DO-15_P12.70mm_Horizontal","Diode",""
"FB1, FB2, ","2","FerriteBead","FerriteBead","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","Ferrite bead",""
"J1, ","1","Conn_02x05_Odd_Even","Conn_02x05_Odd_Even","Connector_IDC:IDC-Header_2x05_P2.54mm_Vertical","Generic connector, double row, 02x05, odd/even pin numbering scheme (row 1 odd numbers, row 2 even numbers), script generated (kicad-library-utils/schlib/autogen/connector/)",""
"J7, J8, ","2","Conn_01x06_Male","Conn_01x06_Male","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical","Generic connector, single row, 01x06, script generated (kicad-library-utils/schlib/autogen/connector/)",""
"Q1, Q2, ","2","2N3906","2N3906","Package_TO_SOT_THT:TO-92_Inline","-0.2A Ic, -40V Vce, Small Signal PNP Transistor, TO-92",""
"R1, R5, R6, R7, ","4","3.3k","R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical","Resistor",""
"R2, R3, R4, R17, R28, ","5","100r","R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical","Resistor",""
"R8, R9, R18, R19, R20, R21, R22, R23, R24, R25, R29, ","11","1k","R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical","Resistor",""
"R10, R11, ","2","3k","R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical","Resistor",""
"R12, R26, ","2","100k","R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical","Resistor",""
"R13, R27, ","2","499r","R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical","Resistor",""
"R14, R31, R32, R33, R36, R37, R38, ","7","10k","R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical","Resistor",""
"R15, ","1","750r","R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical","Resistor",""
"R16, ","1","51k","R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical","Resistor",""
"R30, ","1","5k","R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical","Resistor",""
"R34, ","1","4.99k","R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical","Resistor",""
"R35, ","1","25k","R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical","Resistor",""
"U1, U2, ","2","ADA4851-4","ADA4807-4","Package_SO:TSSOP-14_4.4x5mm_P0.65mm","Quad Rail-to-Rail Input/Output Amplifiers, TSSOP-14",""
"U3, U4, ","2","LT1228CN8#PBF","LT1228CN8#PBF","KiCad:DIP794W53P254L1016H394Q8N","LT1228CN8#PBF, Video Amplifier 500V/us, 8-Pin PDIP N",""
"U5, ","1","TL431LP","TL431LP","Package_TO_SOT_THT:TO-92_Inline","Shunt Regulator, TO-92",""
"U6, ","1","L7805","L7805","Package_TO_SOT_THT:TO-220-3_Vertical","Positive 1.5A 35V Linear Regulator, Fixed Output 5V, TO-220/TO-263/TO-252",""
"U7, ","1","L7905","L7905","Package_TO_SOT_THT:TO-220-3_Vertical","Negative 1.5A 35V Linear Regulator, Fixed Output -5V, TO-220/TO-263",""
